Spanish,English
necesito hacer una reserva,I need to make a reservation
quiero hacer una reserva,I want to make a reservation
Puedo hacer una reserva?,Can I make a reservation
Puedes hacerme una reserva?,Can you make me a reservation?
Me gustaría hacer una reserva,I'd like to make a reservation
Me gustaria probar eso,I would like to try that
Deberíamos,we should
Debo ir al banco,I must go to the bank
Debes estudiar español,You must learn Spanish
Debe saber inglés,He must know English
Tengo que ir al banco,I have to go to the bank
tipo de tren,type / kind of train
Procedencia del tren,train origin
Destino,destination
hora de salida,leaving time
hora de llegada,arrival time
numero de asiento,seat number
la peor parte de la película,the worst part of the movie
es peor ir en auto a la ciudad,it is worse to go by car to the city
es la mejor cocinera,she is the best cook
el mejor jamón del mundo,the best ham in the world
podría estar mejor (la comida),it could have been better
podría ser peor,it could be worse


